count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,"Alex grabbed the bags, and they all walked out together working out where they’d go to celebrate.  ",4.0,4.0,None,,,,,,0,0,0,0,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,1,5.6204216920014005,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,1.919918810002855,space,0.88608145499893,space,0.703622228000313,,,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,space,0.5195448599988595,,,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,space,0.4702263929939363,,,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,,,,,,,,,,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,space,0.5195016049983678,,,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1.0,1.0,11.0,None,None,None,None,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,9,4.653347838000627,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"He had been thinking about breaking up with his girlfriend, Sadie, for 2 months now.",1.0,1.0,None,None,None,1.0,None,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,1,5.153423114999896,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"The restaurant was reminiscent of a diner from the 70’s, with black and white checkerboard tiling on the floor, a long bar in the front, and red, leather upholstery on the stools and booths. ",1.0,1.0,None,None,None,None,1.0,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,1,11.819636722008,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,A bell chimed as the door swung open and Sadie entered to find Thomas deep in thought on a stool at the bar.,1.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,1,4.7202368959988235,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,He stood up and gave her a side hug. ,1.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,1,1.486450580006931,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"“How was your day?”, he asked.",1.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,9,7.267817945001298,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"She clung onto him, “It was okay- I missed you today.”",1.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,1,1.886593699993682,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,He looked away and addressed the hostess coming towards them.,1.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,1,1.6199615780060412,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
1,"“Can we have a booth in the back?”, Thomas asked.",1.0,1.0,None,None,None,None,None,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,1,2.169836650005891,,,,,,,,,,,,,,,,,,050419_p1,001,2019_May_04_1353,body_behavioural_mayedit,3.0.4,60.00930444189581,
