count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,He walked onto the plane and sat down in his aisle seat in the business class section.,4,4,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.652746735009714,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,He typed out a quick email on his phone letting the rest of his team know the good news. ,4,4,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5030294620082714,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,"When the flight attendant came by, he ordered a glass of champagne to celebrate.",4,4,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8864081969950348,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.019521744994563,space,0.7196886799938511,space,0.5836611399863614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,"Lana walked into lecture holding hands with her boyfriend, Aaron, who was trying to contain his excitement and anticipation for proposing to Lana in this class. ",1,1,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.320257044993923,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,"Lana was lost in thought, still puzzling over a calculus problem on her problem set due that night.",1,1,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4528325049905106,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,"The lecture hall was the fanciest one at Princeton, with chandeliers, high ceilings, wood floors and double-decker chalkboards.",1,1,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.452458992993343,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,"This is where Aaron and Lana had met two years ago during an economics class, and now they were back together in the same lecture hall for their Chemistry class. ",1,1,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.537160225998377,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,The professor caught Aaron's eye as he walked up to the front of the classroom and gave him a wink before the lecture began. ,1,1,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.802989592004451,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,Aaron responded with a huge grin. ,1,1,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3840574899950298,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
1,"The professor cleared his throat and said,“Alright, good afternoon, everyone!",2,1,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9177028519916348,,,,,,,,,,,,,,,,,,,,,,,,,,,,030719_p1,001,2019_Mar_07_1015,body_behavioural,3.0.4,59.995223778089915,
