count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,Chloe looked around and laughed. ,3.0,3.0,None,,,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,1,0.03340463500353508,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,"“Yes!” she shouted, and jumped to embrace Alex in a hug. ",3.0,4.0,None,,,,,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,9,0.020242352009518072,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,Everyone in line clapped and cheered. ,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,1,0.05052597000030801,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,"Alex put the ring on Chloe’s finger, who was nearly spinning in excitement.",3.0,4.0,None,,,,,,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,9,0.019949651992646977,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,"“I love it, oh my gosh, it’s so glittery!",3.0,4.0,None,,,,,,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,1,0.03671152499737218,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,Look at this!” she said as she shoved her hand in a stranger’s face.,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,9,0.020752940006786957,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,Her friends came over and hugged them.,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,1,0.036458179994951934,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,The other people let them move up to the front of the checkout line. ,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,9,0.019576200007577427,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,Chloe immediately texted her mom a picture of her hand. ,3.0,4.0,None,,,,,,0,0,0,0,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,1,0.036618313009967096,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,The cashier congratulated them and scanned their cranberry sauce. ,4.0,4.0,None,,,,,,0,0,0,0,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,9,0.020140715001616627,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,The total came to $14 and Alex paid in cash while Chloe greeted their friends.,4.0,4.0,None,,,,,,0,0,0,0,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,1,0.05312078198767267,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,"Alex grabbed the bags, and they all walked out together working out where they’d go to celebrate.  ",4.0,4.0,None,,,,,,0,0,0,0,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,9,0.0036785100091947243,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
1,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,1.7030352699948708,space,2.853294996995828,space,1.1196690569922794,,,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
1,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,41.0,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,6.420310998000787,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
1,"She was typing intently on her phone and ran straight into the restaurant’s clear, glass door with an echoing thud. ",1,1,None,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,3.602794432998053,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
1,Everyone waiting around the cash register turned to see if she was okay.,1,1,None,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,9,1.1031685069901869,,,,,,,,,,,,,,,,,,,,,050119_p1,001,2019_May_01_1231,body_behavioural_mayedit,3.0.4,59.95978137723138,
