count,storyText,locationEvent,socialEvent,storyEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
1,"Every time we talk, you are just looking for a way to steer the conversation back into your stories.”",3,2,,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,1,3.002731338999979,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"Calvin didn't slow his pace, gritting his teeth and staring straight ahead. ",3,2,,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,1,3.42109653,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,He was very frustrated that he had been trying to appease Jessie this whole time and this was how she responded. ,3,2,,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,1,4.252557035999985,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,The silence was punctuated only by the rapid rhythmic clacking of their suitcase wheels over the tile floor as they continued power-walking through the terminal. ,3,2,,,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,1,7.054730715999995,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"“Well?” Jessie said, and Calvin finally turned to her.",3,2,,,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,1,2.2675046570000177,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"“Well, Jessie, this makes perfect sense. ",3,3,,,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,1,1.301471226999979,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"If you feel this way, then I don’t want to keep boring you, and I agree, let’s part ways once we make it back.",3,3,,,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,1,3.3530343950000088,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,You should’ve spoken up about my apparent intolerability before you decided to plan this vacation.”,3,3,,,,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,1,3.98615397399999,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"He was clearly hurt, but thought it was pointless to argue. ",3,3,,,,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,1,2.268320982999967,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"They finally made it to the gate, just as they heard the final call for passengers boarding their flight.",3,3,,,,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,9,5.020068156000093,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"They scanned their tickets, and the annoyed flight attendant shooed them onto the jet bridge and then closed the door behind them.",4,3,,,,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,1,5.353034070000035,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
1,"Luckily, they had forgotten to arrange seats next to each other on the flight back.",4,3,,,,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,9,11.17848037500005,,,,,,,,,,,,,,,,,Tara,001,2019_Feb_05_1329,body_behavioural,60.155123943076184,
