count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,"Anna, bewildered, looked up and saw the cart pass by and then looked over at David. ",1,2,None,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.653646007995121,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,He gave a smile back.,1,2,None,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1194966880138963,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"“You alright?”, he said.",1,2,None,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7859566999832168,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"She whispered, “Uh yeah.",1,2,None,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6700202819774859,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,I almost got smooshed by that cart.”,1,2,None,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4698754050186835,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,Her head was still spinning as she stared at the handsome stranger who had saved her. ,1,2,None,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8843244899762794,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,David helped her up and had to keep holding on to her arms to steady her even once they were standing.,1,2,None,,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.353772467002273,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"“I’m really late for my flight,” she said. ",1,2,None,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.020178657025099,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,"“Don't worry,” said David, "let me help you get to your gate." ",1,2,None,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.019890765019227,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
1,He waved off her half-hearted protests. ,1,2,None,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.3695502250338905,,,,,,,,,,,,,,,,,,,,,,,,,,,,031519_p3,001,2019_Mar_15_1513,body_behavioural,3.0.4,60.012032406309714,
