count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,Luna is mine and I want her back.”,4.0,4.0,None,,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.404081145999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,"Emmanuella rolled her eyes, knowing the cat would be a whole other issue to sort out later.
",4.0,4.0,None,,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.7674132200190797,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7366440650075674,space,0.7703041919739917,space,0.8690107369911857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4195525150280446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately, as she attempted to walk into the restaurant. ",1,1,41.0,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4358412600122392,space,1.5526019100216217,1,7.204283305967692,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,She was typing intently on her phone and ran straight into the restaurant’s glass door with a painful thud. ,1,1,None,,0,1,1,1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.717351960018277,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,Everyone waiting around the cash register turned.,1,1,None,,0,1,1,1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.5703389149857685,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,Teresa rubbed her head and put her phone away. ,1,1,None,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4363595849717967,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,She looked somewhat confused but primarily indignant that the door had been in her way. ,1,1,None,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.752761056995951,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"James found this quite charming and stole a couple glances at her, peeking up from the newspaper he was holding, until she noticed and wrinkled her eyebrows at him. ",1,1,None,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.187544665008318,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,James and Teresa had both chosen the least busy time to try out Atlanta’s newest sushi restaurant.  ,1,1,None,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.235699711018242,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,It was notable for both the food and the decor. ,1,1,None,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0697914250195026,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"There were pine wood countertops and chairs, plants all along the sides of the walls, and branch-looking structures hanging from the ceiling. ",1,1,None,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2.6694355349754915,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"The host sat James and Teresa, who were both dining alone, at the bar. ",2,1,None,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.33487459999742,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,They sat a seat apart from each other on the bench.,2,1,None,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.303753542015329,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"The waitress behind the counter gave them bright neon menus that were filled with entrees in Japanese with small, English translations. ",2,1,None,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.868246586993337,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,James quickly glanced through it while Teresa took a longer time. ,2,1,None,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.9197759369853884,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"A few minutes passed before, James turned to Teresa and asked, “Is your forehead alright?”",2,2,None,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11.303375324991066,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,She turned to him and smirked.,2,2,None,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7.270415525010321,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,“Have you ever been stung by a scorpion?” she asked him.,2,2,None,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2844508880516514,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,“What?” he responded confusedly.,2,2,None,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2007543229847215,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1, “A scorpion.”,2,2,None,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4692907549906522,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,James began to worry that Teresa had possibly suffered a concussion in the door crash.,2,2,None,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6029948699870147,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"“Uh no, why?” he asked.",2,2,None,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7863658450078219,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"“Because I’ve been stung by one, and since then, things like bumping into doors seem like pretty small potatoes.” ",2,2,None,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.736342907010112,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"They carried on talking, and Teresa told him all about her encounter with a Deathstalker scorpion while she was studying abroad in Egypt.",2,2,None,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.851404974993784,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"The waitress behind the counter came up to them and asked, “Are you ready for your order?” ",3,2,None,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1.452527170011308,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"She first looked at Teresa who answered, “Yes, I’ll have a salmon roll and a Japanese beer.”",3,2,None,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.620504300983157,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,Then the waitress turned to James.,3,2,None,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1193594849901274,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
1,"He said, “I’ll have a tuna roll and a vegetable roll.” ",3,2,None,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.586629979952704,,,,,,,,,,,,,,,,,,,,,,,,,,,,062719_p2,001,2019_Jun_27_1417,body_behavioural,3.0.4,59.99006084925502,
