count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
6,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,11,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
7,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
8,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
9,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
10,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
11,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
12,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
13,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
14,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
15,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,1,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,0.785330685088411,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.31842929497361183,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,space,0.31891088001430035,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,space,0.41672533203382045,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,space,0.6025593880331144,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
,,,,,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,space,0.5851742519298568,Social,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,space,0.3852394799469039,Location,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,B,,,space,1.285037494963035,Social,A,B,B,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,space,0.48541203001514077,Location,  ,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,space,2.468946362962015,Location,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,space,0.5353032969869673,Location,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
