count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
1,The two had met the night before in line for the bathroom at a local bar. ,1,1,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,0.09122198505792767,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
1,"Jeff had delivered some surprisingly-detailed complaints to William about the wine selection, and they quickly learned that Jeff was a representative for wine vineyards in the Northeast and William was a wine buyer for corporate events.",1,1,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,0.18559718201868236,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
1,"Since they both had flights out of Boston at the same time, they had agreed to meet at the airport and talk business then and there. ",1,1,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
1,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
2,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,None,,None,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,9.80505143897608,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,4.7364707929082215,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,4.31897407991346,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,2.7687980700284243,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.9008095850003883,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,Jdkjfkaj kjfksjf. kjki ii kdjkj kjkj itilk. questionquestionquestionquestionquestionquestionquestionkskj kj//////skjfkls jkjs .kj kj,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
1,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,Jdhvkjchjkjcklz kjcl ,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
2,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,Jzljkdjslfkjsdfksdlf,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
3,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,Kdjflsjkdkfl,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
4,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,Fjslkfj,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
5,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,space,26.492067139944993,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,space,0.6515318530146033,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,space,0.5188370429677889,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,space,15.024021869990975,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,1.8349387360503897,Nervous,non-primed first,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6689575349446386,,,,,,,,,,,,,,,
