count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,recall,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
1,"The store specialized in organic produce and products catering to desires for high-end products, such as imported cheeses and sauces. ",1,1,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0018148450000126104,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06929143399997884,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,Emmanuella selected a few boxes of linguine.,2,1,,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.01864263499999197,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"“I guess we are having pasta tonight,” Liam said.",2,1,,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10174223900003199,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.11766667300003064,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"Liam sighed, and finally said, “You don’t want me to help.",2,1,,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0017139960000349674,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"I try to, but it seems like I always get in the way!” ",2,1,,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10195705000000999,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,"Emmanuella angrily threw the pasta into the cart, losing her temper.",2,1,,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13518469200005256,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1," “Liam, you don’t even try!",2,1,,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1179182609999998,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
1,You know what?,2,1,,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13531335499999386,,,,,,,,,,,,,,,,,,,,,alexandra2,001,2019_Feb_07_1423,body_behavioural,59.847640117204435,
