count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
1,Emmanuella selected a few boxes of linguine.,2,1,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,9,0.06800029700025334,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"“I guess we are having pasta tonight,” Liam said.",2,1,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,9,0.10235355399890977,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,1,0.05122694199963007,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"Liam sighed, and finally said, “You don’t want me to help.",2,1,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,9,0.018507336999391555,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"I try to, but it seems like I always get in the way!” ",2,1,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,1,0.08279435700023896,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"Emmanuella angrily threw the pasta into the cart, losing her temper.",2,1,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,9,0.0017153440003312426,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1," “Liam, you don’t even try!",2,1,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,9,0.10201262500049779,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,You know what?,2,1,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,9,0.1185499589992105,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,I don’t think I can do this anymore. ,2,2,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,1,0.0017272360000788467,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
1,"I was going to wait until after this unfortunately-timed dinner party tonight to talk about this, but I might as well say it now: I don’t want to be in a relationship with you anymore.",2,2,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,9,0.03476422300082049,,,umbrella,001,2019_Feb_11_1046,body_behavioural,59.97721225796691,
