count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,storyEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
1," “Well Jessie, this makes perfect sense. ",3,3,,,,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,,,,,,,9,4.203189631999976,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"If you feel this way, then I don’t want to keep boring you, and I agree, let’s part ways once we make it back.",3,3,,,,,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,,,,,,,1,13.75586681499999,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"I thought we were having a lovely time, but if the feeling was not mutual then so be it.”",3,3,,,,,0,1,1,1,0,22,22,22,,,,,,,,,,,,,,,,,,,,,1,2.0676081369999793,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"He was clearly hurt, but thought it was pointless to argue. ",3,3,,,,,0,1,1,1,0,23,23,23,,,,,,,,,,,,,,,,,,,,,9,3.835934070999997,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"They finally made it to the gate, just as they heard the final call for passengers boarding their flight.",3,3,,,,,0,1,1,1,0,24,24,24,,,,,,,,,,,,,,,,,,,,,9,12.75623051399998,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"They scanned their tickets, and the annoyed flight attendant shooed them onto the jet bridge and then closed the door behind them.",4,3,,,,,0,1,1,1,0,25,25,25,,,,,,,,,,,,,,,,,,,,,9,45.0487391800001,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Luckily, they had forgotten to arrange seats next to each other on the flight back.",4,3,,,,,0,1,1,1,0,26,26,26,,,,,,,,,,,,,,,,,,,,,9,3.900362780000023,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"They both had first-class tickets, but Jessie was headed for seat 1B while Calvin's ticket was for 4F. ",4,3,,,,,0,1,1,1,0,27,27,27,,,,,,,,,,,,,,,,,,,,,9,8.470861123000077,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Before Jessie sat down, she took a deep breath and then awkwardly shook Calvin’s hand, mumbling, “Well, have a nice flight.” ",4,4,,,,,0,1,1,1,0,28,28,28,,,,,,,,,,,,,,,,,,,,,1,3.4191130579999935,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,He laughed in disbelief and walked to his window seat three rows back to get ready for takeoff.,4,4,,,,,0,1,1,1,0,29,29,29,,,,,,,,,,,,,,,,,,,,,9,6.6367943710000645,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,"Both were at least relieved that the vacation and the fights were over, and they were looking forward to never having to struggle through another conversation together again.
",4,4,,,,,0,1,1,1,0,30,30,30,,,,,,,,,,,,,,,,,,,,,9,9.188253579000047,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
1,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations: Senna was going to propose tonight and Alvira had no idea.,1,1,None,None,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,space,3.421108600000025,1,64.02259794400004,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1,1,None,None,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,9,4.843034211000031,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,The entrance of the restaurant was dazzling; chandeliers spread their warm light onto the delicate place settings of all the tables filled with guests dressed to the nines. ,1,1,None,None,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,9,14.155821985000102,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"Through the floor-to-ceiling arched windows of the back wall, they saw the sun setting onto the Pacific ocean.",1,1,None,None,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,9,3.2524996250000413,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"This was surely one of the best restaurants on the west coast, situated right on the beach.",1,1,None,None,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,9,2.0696328729999323,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"Senna gave his name to the host, who quickly located their reservation with an almost comically wide customer-service smile.",1,1,7.0,None,,,0,2,2,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,7.519239836999986,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,He led them to a table right by the window.,2,1,None,None,,,0,2,2,2,0,6,6,6,,,,,,,,,,,,,,,,,,,,,9,3.402400555999975,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"He brought out some very small menus, with a short list of the chef's carefully selected daily dishes written in a loopy, cursive font unadorned by any mention of prices.",2,1,None,9.0,,,0,2,2,2,0,7,7,7,,,,,,,,,,,,,,,,,,,,,9,7.789302794000037,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,Senna slipped off to the bathroom to check to make sure the ring was in order.,2,2,None,None,,,0,2,2,2,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,7.2955635790000315,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"The canary diamond had been his mother’s ring, and it was a brilliant stone with small white diamonds encircling it.",2,2,None,None,,,0,2,2,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,9,3.5366094339999563,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,He walked back to the table after handing the box to a waiter at the front podium.,2,2,6.0,None,,,0,2,2,2,0,10,10,10,,,,,,,,,,,,,,,,,,,,,9,5.975413998000022,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,He came back just as their waiter was approaching the table to get their order.,3,2,None,None,,,0,2,2,2,0,11,11,11,,,,,,,,,,,,,,,,,,,,,9,4.4578433240000095,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3,2,None,None,,,0,2,2,2,0,12,12,12,,,,,,,,,,,,,,,,,,,,,9,6.521048102999998,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"“Excellent choices,” the waiter said with a subsequent brisk spin away from the table.",3,2,None,None,,,0,2,2,2,0,13,13,13,,,,,,,,,,,,,,,,,,,,,1,7.87146563400006,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2," “What a beautiful place, Senna. ",3,2,None,None,,,0,2,2,2,0,14,14,14,,,,,,,,,,,,,,,,,,,,,9,1.0687993359999837,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"Really this is too much just to celebrate the first tomatoes I grew in the garden, like, this is absurd,” Alvira said.",3,2,None,None,,,0,2,2,2,0,15,15,15,,,,,,,,,,,,,,,,,,,,,9,4.486746272000005,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
2,"Senna laughed, “No, those were really the best tomatoes I’ve ever had. ",3,2,None,None,,,0,2,2,2,0,16,16,16,,,,,,,,,,,,,,,,,,,,,9,10.286997590999931,,,,,,,,,,,,,,,,,olivia,001,2019_Jan_24_1604,body_behavioural,60.06338428880592,
