count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
1,"I couldn’t imagine it any other way, and I don’t want to.",4,2,None,None,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,9,0.018634169000506517,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"I really want to spend the rest of my years eating garden tomatoes, whatever it is, with you.” ",4,2,None,None,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,1,0.10033330300029775,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Alvira smiled, “I want the same with you too, Senna.” ",4,2,None,17.0,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,1,0.15224110500093957,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"Senna nodded at the waiter who had been watching attentively, and he quickly strode over to place a small, elegant cake topped with the ring in front of Alvira. ",4,3,None,None,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,1,0.16726225499951397,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,Her eyes widened in shock when she realized what she was looking at.,4,3,None,None,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,9,0.08462046599925088,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"“Alvira, will you marry me? ",4,3,None,None,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,1,0.10168091700143123,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"I love you, and I will never stop loving you.” ",4,3,None,None,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,9,0.035571993999838014,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,Alvira started to cry.,4,3,None,None,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,1,0.1334968570008641,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"The room became silent, and everyone turned to their table. ",4,3,None,5.0,0,1,1,1,,,,,0,30,30,30,,,,,,,,,,,9,0.018478818999938085,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"“Yes, of course, yes!” she shouted as she wiped away tears.",4,4,None,None,0,1,1,1,,,,,0,31,31,31,,,,,,,,,,,1,0.10070711999833293,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,The neighboring tables exploded in applause.,4,4,None,None,0,1,1,1,,,,,0,32,32,32,,,,,,,,,,,9,0.01922283800013247,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,The waiter returned with a bottle of champagne and popped it. ,4,4,None,None,0,1,1,1,,,,,0,33,33,33,,,,,,,,,,,1,0.11745364599846653,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
1,"All of this went unnoticed by Senna and Alvira as they looked into each others’ eyes, and he slipped the ring onto her finger. ",4,4,None,None,0,1,1,1,,,,,0,34,34,34,,,,,,,,,,,1,0.18435693100036588,',001,2019_Feb_07_1354,body_behavioural,59.98213588031071,
