count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,frameRate,
1, “Can I get you anything else?” the waitress asked.,4,3,,,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1517786360000173,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,They declined and continued to talk.,4,3,,,,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05077593099849764,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"The meal lived up to the reputation of the restaurant, which was known for having the best cuts of meat in the area.",4,3,,,,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.051789612998618395,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"Mr. Gordon, after taking a contemplative bite of his food, said, “Mr. Shelton, I think we have a deal. ",4,4,,,,0,1,1,1,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0528291230002651,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"If you can guarantee that I can still have the final say in the all the work done by my team, I think this could be beneficial for both of us.",4,4,,,,0,1,1,1,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.135983269999997,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,I propose a toast to the merging of our companies.”,4,4,,,,0,1,1,1,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11822556999868539,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,Mr. Shelton grinned and lifted his martini to clink glasses.,4,4,,,,0,1,1,1,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.13397854200047732,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,"He said, “Cheers to a lifelong partnership and to the growth of your company.” ",4,4,,,,0,1,1,1,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0017751289997249842,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
2,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7500197240005946,space,0.6836114260004251,space,2.0200857060008275,,,,,,,,,,,alexandra1,001,2019_Feb_07_1400,body_behavioural,59.80054401662467,
