count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
1,"“Alex, we need to get some cranberry sauce, so let’s go there first.” ",2,1,,,,0,1,1,1,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,9,3.6531825170022785,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,She led the way to the section of the store that held the canned foods. ,2,1,,,,0,1,1,1,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1857210480011418,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,Alex looked like he was going to throw up. ,2,1,,,,0,1,1,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,1,2.4371398449948174,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"As they were walking there, Chloe asked him, “Is everything okay, dear?”",2,1,,,,0,1,1,1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,1,1.5197635000004084,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"“Oh yeah, for sure,” he said, unconvincingly. ",2,1,,,,0,1,1,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2509165899973596,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"She chuckled, “Alright, whatever you say.” ",2,1,,,,0,1,1,1,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,1,1.203091236995533,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"She was mulling over the different cans of cranberry sauce, and Alex knew she would be a while.",2,1,,,,0,1,1,1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,9,4.937129750003805,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,He turned his back to her and pulled out the ring.,2,2,,,,0,1,1,1,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,1,5.636800795000454,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,He had been saving up for this for a while. ,2,2,,,,0,1,1,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1670095599984052,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,The ring had three large diamonds with smaller ones encircling each one: all of them sparkled in the light streaming in from the windows. ,2,2,,,,0,1,1,1,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,1,2.9040975870011607,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"“Alex?”, Chloe said suspiciously. ",2,2,,,,0,1,1,1,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,1,4.81810544799373,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,He closed the box and whipped around. “Yes?”,2,2,,,,0,1,1,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,1,1.9697143950033933,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,“Do we need anything else?”,2,2,,,,0,1,1,1,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6197815150007955,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"“Yeah I don’t know, honey.” ",2,2,,,,0,1,1,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,1,1.152536390000023,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,They went to the checkout and waited in a long line.,3,2,,,,0,1,1,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,9,18.67096552700241,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,Alex was staring intensely off into the distance. ,3,2,,,,0,1,1,1,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,1,6.053825689996302,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,Chloe was watching him trying to decide whether he looked scared or confused. ,3,2,,,,0,1,1,1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6023409080007696,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,Alex looked over at their friends who were waiting by the entrance of the grocery store.,3,2,,,,0,1,1,1,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4697668849985348,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,They got the message and walked over slowly. ,3,2,,,,0,1,1,1,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6361057719987002,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"“Honey,” he said to get her attention, “Look, Chloe, I love you so much and I want to be with you forever, I can’t imagine a day without you.”",3,2,,,,0,1,1,1,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,9,2.550905905001855,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"“Awww, Alex, me too.”",3,2,,,,0,1,1,1,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,1,1.3694645299983677,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"Alex got down on one knee, and Chloe gasped. ",3,3,,,,0,1,1,1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,1,2.903134804997535,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"“I am serious, Chloe. Will you marry me?”",3,3,,,,0,1,1,1,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0362217649962986,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,"The people in line around them realized what was happening, stepped back, and started taking pictures.",3,3,,,,0,1,1,1,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4365261800048756,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,Their friends were no longer trying to hide and were videotaping and taking pictures too. ,3,3,,,,0,1,1,1,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0867332000052556,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
1,Chloe looked around and laughed. ,3,3,,,,0,1,1,1,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0833726350028883,,,,,,,,,,,,,,,,,,,,,,,,,030319_p3,001,2019_Mar_04_1544,body_behavioural,3.0.4,60.03766583118145,
