count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
1,"He grabbed her hand, and she pulled it out of his.",4,3,None,None,,0,1,1,1,0,53,53,53,,,,,,,,,,,,,,,,,,,9,0.28296643297653645,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"“Sadie,” he said.",4,3,None,17.0,,0,1,1,1,0,54,54,54,,,,,,,,,,,,,,,,,,,1,0.13462928403168917,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1," She stood up, grabbed half the reuben, and shook it at him as she growled, “Don’t follow me and don’t talk to me anymore.”",4,4,None,None,,0,1,1,1,0,55,55,55,,,,,,,,,,,,,,,,,,,1,0.34069555799942464,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Sadie's heels clacked loudly against the black and white linoleum, and the bell above the door jingled cheerfully as the door closed behind her.",4,4,None,None,,0,1,1,1,0,56,56,56,,,,,,,,,,,,,,,,,,,1,0.20830976695287973,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Thomas sat there for awhile, in shock at how quickly everything transpired. ",4,4,None,None,,0,1,1,1,0,57,57,57,,,,,,,,,,,,,,,,,,,9,0.25199904199689627,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"He grabbed his burger, and took a bite of it, but it tasted dry and fishy.",4,4,None,None,,0,1,1,1,0,58,58,58,,,,,,,,,,,,,,,,,,,1,0.2019168530823663,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"He dropped it back on his plate, wondering if the restaurant was responsible for the foul taste in his mouth. ",4,4,13.0,5.0,,0,1,1,1,0,59,59,59,,,,,,,,,,,,,,,,,,,1,0.21738283499144018,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.2691787499934435,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.38595625397283584,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.31879511394072324,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.36792605998925865,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.367536737001501,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
,,,,,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.002070919959806,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
